Name,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AS
Gerald Wallace,2001-02,19,SAC,NBA,SF,54,1,8.0,1.4,3.2,.429,0.0,0.1,.000,1.4,3.1,.446,.429,0.4,0.9,.500,0.9,0.7,1.6,0.5,0.4,0.1,0.4,0.9,3.2,True
John Wallace,1996-97,22,NYK,NBA,SF,68,6,11.6,1.8,3.5,.517,0.0,0.1,.500,1.8,3.4,.517,.521,1.2,1.6,.718,0.8,1.5,2.3,0.5,0.3,0.4,1.1,1.5,4.8,False
Rasheed Wallace,1995-96,21,WSB,NBA,PF,65,51,27.5,4.2,8.7,.487,0.4,1.3,.329,3.8,7.4,.513,.511,1.2,1.8,.650,1.4,3.2,4.7,1.3,0.6,0.8,1.6,3.2,10.1,True
Taurean Waller-Prince,2016-17,22,ATL,NBA,SF,59,10,16.6,1.9,4.8,.400,0.6,1.7,.324,1.4,3.1,.443,.458,1.3,1.6,.787,0.4,2.2,2.7,0.9,0.7,0.5,1.0,1.6,5.7,False
Rex Walters,1993-94,23,NJN,NBA,SG,48,0,8.0,1.3,2.4,.522,0.3,0.6,.500,1.0,1.8,.529,.583,0.6,0.7,.824,0.1,0.7,0.8,1.5,0.3,0.1,0.6,0.9,3.4,False
Luke Walton,2003-04,23,LAL,NBA,PF,72,2,10.1,0.9,2.1,.425,0.2,0.5,.333,0.7,1.6,.456,.467,0.4,0.6,.705,0.5,1.2,1.8,1.6,0.4,0.1,0.6,1.0,2.4,False
Charlie Ward,1994-95,24,NYK,NBA,PG,10,0,4.4,0.4,1.9,.211,0.1,1.0,.100,0.3,0.9,.333,.237,0.7,1.0,.700,0.1,0.5,0.6,0.4,0.2,0.0,0.8,0.7,1.6,False
T.J. Warren,2014-15,21,PHO,NBA,SF,40,1,15.4,2.8,5.4,.528,0.1,0.5,.238,2.7,4.8,.560,.540,0.4,0.5,.737,1.0,1.1,2.1,0.6,0.5,0.2,0.7,1.3,6.1,False
Hakim Warrick,2005-06,23,MEM,NBA,PF,68,2,10.6,1.5,3.4,.443,0.0,0.0,,1.5,3.4,.443,.443,1.1,1.7,.661,0.6,1.5,2.1,0.4,0.2,0.3,0.8,1.7,4.1,False
Darryl Watkins,2007-08,23,SAC,NBA,C,9,0,7.9,0.6,1.7,.333,0.0,0.0,,0.6,1.7,.333,.333,0.2,0.6,.400,0.6,0.8,1.3,0.0,0.2,0.2,0.8,0.9,1.3,False
C.J. Watson,2007-08,23,GSW,NBA,PG,32,0,11.5,1.3,3.2,.426,0.3,0.8,.346,1.1,2.3,.453,.470,0.7,0.9,.793,0.4,0.6,1.0,1.1,0.5,0.0,0.6,0.6,3.7,False
Earl Watson,2001-02,22,SEA,NBA,PG,64,0,15.1,1.5,3.3,.453,0.3,0.7,.364,1.3,2.6,.476,.491,0.4,0.6,.639,0.5,0.8,1.3,2.0,0.9,0.1,0.8,1.5,3.6,False
Jamie Watson,1994-95,22,UTA,NBA,SF,60,1,11.2,1.3,2.5,.500,0.1,0.3,.263,1.2,2.2,.534,.516,0.6,0.9,.679,0.3,1.0,1.2,1.0,0.6,0.2,0.9,1.4,3.3,False
Travis Wear,2014-15,24,NYK,NBA,SF,51,1,13.2,1.6,4.1,.402,0.2,0.6,.367,1.4,3.5,.408,.428,0.4,0.5,.769,0.6,1.5,2.1,0.8,0.3,0.2,0.7,1.1,3.9,False
Clarence Weatherspoon,1992-93,22,PHI,NBA,SF,82,82,32.4,6.0,12.8,.469,0.0,0.0,.250,6.0,12.8,.470,.470,3.5,5.0,.713,2.2,5.0,7.2,1.8,1.0,0.8,2.1,2.3,15.6,False
Chris Webber,1993-94,20,GSW,NBA,C,76,76,32.1,7.5,13.6,.552,0.0,0.2,.000,7.5,13.5,.559,.552,2.5,4.7,.532,4.0,5.1,9.1,3.6,1.2,2.2,2.7,3.3,17.5,True
Martell Webster,2005-06,19,POR,NBA,SF,61,18,17.5,2.3,5.7,.399,1.1,3.0,.357,1.2,2.7,.446,.493,1.0,1.2,.859,0.5,1.7,2.1,0.6,0.3,0.2,0.7,1.5,6.6,False
Sonny Weems,2008-09,22,DEN,NBA,SG,12,0,4.6,0.7,2.1,.320,0.0,0.3,.000,0.7,1.8,.364,.320,0.3,0.7,.375,0.0,0.3,0.3,0.3,0.1,0.0,0.5,0.7,1.6,False
Bonzi Wells,1998-99,22,POR,NBA,SF,7,0,5.0,1.6,2.9,.550,0.1,0.4,.333,1.4,2.4,.588,.575,1.1,2.6,.444,0.6,0.7,1.3,0.4,0.1,0.1,0.9,0.7,4.4,False
Jiří Welsch,2002-03,23,GSW,NBA,SF,37,0,6.3,0.5,2.0,.253,0.0,0.1,.250,0.5,1.9,.254,.260,0.6,0.8,.759,0.3,0.4,0.8,0.7,0.2,0.1,0.5,0.9,1.6,False
Robert Werdann,1992-93,22,DEN,NBA,C,28,0,5.3,0.6,2.1,.305,0.0,0.0,.000,0.6,2.1,.310,.305,0.6,1.1,.548,0.8,1.0,1.9,0.3,0.2,0.1,0.4,1.4,1.9,False
David Wesley,1993-94,23,NJN,NBA,PG,60,0,9.0,1.1,2.9,.368,0.2,0.8,.234,0.9,2.1,.417,.399,0.7,0.9,.830,0.2,0.6,0.7,2.1,0.6,0.1,0.9,0.8,3.1,False
David West,2003-04,23,NOH,NBA,PF,71,1,13.1,1.5,3.2,.474,0.0,0.0,.000,1.5,3.2,.478,.474,0.8,1.1,.713,1.6,2.5,4.2,0.8,0.4,0.4,0.7,1.6,3.8,True
Delonte West,2004-05,21,BOS,NBA,SG,39,7,13.0,1.7,4.0,.426,0.6,1.7,.358,1.1,2.3,.477,.503,0.5,0.7,.704,0.4,1.3,1.7,1.4,0.5,0.2,0.6,1.8,4.5,False
Doug West,1989-90,22,MIN,NBA,SG,52,0,7.3,1.0,2.6,.393,0.1,0.2,.273,1.0,2.4,.403,.404,0.5,0.6,.813,0.5,0.9,1.3,0.3,0.2,0.1,0.6,1.2,2.6,False
Mario West,2007-08,23,ATL,NBA,SG,64,2,4.2,0.3,0.8,.429,0.0,0.1,.000,0.3,0.7,.467,.429,0.3,0.4,.654,0.4,0.3,0.8,0.2,0.2,0.1,0.1,1.0,0.9,False
Russell Westbrook,2008-09,20,OKC,NBA,PG,82,65,32.5,5.3,13.4,.398,0.4,1.6,.271,4.9,11.8,.415,.414,4.3,5.2,.815,2.2,2.7,4.9,5.3,1.3,0.2,3.3,2.3,15.3,True
D.J. White,2008-09,22,OKC,NBA,PF,7,0,18.6,3.7,7.1,.520,0.0,0.0,,3.7,7.1,.520,.520,1.4,1.9,.769,1.4,3.1,4.6,0.9,0.4,0.7,0.4,1.4,8.9,False
Jahidi White,1998-99,22,WAS,NBA,PF,20,0,9.6,0.9,1.6,.531,0.0,0.0,,0.9,1.6,.531,.531,0.8,1.8,.429,1.2,1.8,2.9,0.1,0.2,0.6,0.8,2.0,2.5,False
